video_id,channel_id,video_title,channel_title,published_at,description,thumbnail_url,views,likes,duration,duration_seconds
6Mbpa0zKaQw,UCMiJRAwDNSNzuYeN2uWa0pA,7 WEIRDEST AirPod Cases!,Mrwhosetheboss,2025-03-06 11:03:26+00:00,,https://i.ytimg.com/vi/6Mbpa0zKaQw/hqdefault.jpg,9610.0,5321.0,PT59S,59
KGZ4VFDvRGY,UCMiJRAwDNSNzuYeN2uWa0pA,The Best Phone Camera in the World,Mrwhosetheboss,2025-03-03 09:25:00+00:00,,https://i.ytimg.com/vi/KGZ4VFDvRGY/hqdefault.jpg,2072779.0,154292.0,PT37S,37
HvnY2IWoAGI,UCMiJRAwDNSNzuYeN2uWa0pA,The 2 Best Phone Cameras in the World.,Mrwhosetheboss,2025-03-03 06:30:09+00:00,Could you see yourself ever using something like the Xiaomi Concept Phone Go to https://surfshark.com/boss for 4 extra ...,https://i.ytimg.com/vi/HvnY2IWoAGI/hqdefault.jpg,2936448.0,83598.0,PT13M10S,790
quUFmlvjSHk,UCMiJRAwDNSNzuYeN2uWa0pA,Most Powerful Lighter In The World,Mrwhosetheboss,2025-02-25 20:20:52+00:00,shorts #tech #lighter.,https://i.ytimg.com/vi/quUFmlvjSHk/hqdefault.jpg,2314209.0,194487.0,PT1M,60
78cX0yLJPMw,UCMiJRAwDNSNzuYeN2uWa0pA,I bought the Ultimate Survival Tech,Mrwhosetheboss,2025-02-22 13:24:28+00:00,I bought and tested the best survival tech I could find! Download Opera Browser for free ...,https://i.ytimg.com/vi/78cX0yLJPMw/hqdefault.jpg,4616001.0,176102.0,PT33M7S,1987
mkcgVN90zl0,UCMiJRAwDNSNzuYeN2uWa0pA,This Gadget BRICKS Your Phone!,Mrwhosetheboss,2025-02-21 14:57:07+00:00,shorts #tech #gadgets #socialmedia.,https://i.ytimg.com/vi/mkcgVN90zl0/hqdefault.jpg,4512454.0,381726.0,PT48S,48
DnY6J7YAsGg,UCMiJRAwDNSNzuYeN2uWa0pA,Oppo Find N5 Review - Samsung just got Demolished!?,Mrwhosetheboss,2025-02-20 12:00:17+00:00,"The Thinnest, and somehow also BEST Foldable I have ever seen - but how? Go to https://surfshark.com/boss for 4 extra ...",https://i.ytimg.com/vi/DnY6J7YAsGg/hqdefault.jpg,4755677.0,113982.0,PT14M50S,890
prZK4ot7lRs,UCMiJRAwDNSNzuYeN2uWa0pA,This Phone Gimbal Has an Insane Trick!,Mrwhosetheboss,2025-02-18 13:02:23+00:00,shorts #dji #gadgets #smartphone DJI Phone Gimbal / DJI Osmo Mobile 7 Series / Osmo Mobile 7.,https://i.ytimg.com/vi/prZK4ot7lRs/hqdefault.jpg,341095.0,30462.0,PT1M,60
HvbOESd9u1w,UCMiJRAwDNSNzuYeN2uWa0pA,13 Tragic Tech Fails that need to DIE,Mrwhosetheboss,2025-02-08 14:05:48+00:00,"The most tragic tech fails, from GoPro, to Honey, to Sonos, Threads, Spotify and more Take your personal data back with ...",https://i.ytimg.com/vi/HvbOESd9u1w/hqdefault.jpg,3192661.0,118106.0,PT27M33S,1653
KXl8uY8SUPo,UCMiJRAwDNSNzuYeN2uWa0pA,5 Phone Cases With SECRET Abilities!,Mrwhosetheboss,2025-02-05 15:41:53+00:00,,https://i.ytimg.com/vi/KXl8uY8SUPo/hqdefault.jpg,3124834.0,210981.0,PT59S,59
